"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1111801626472251392","https://twitter.com/aaronlouie_ml/status/1111801626472251392","yay makikita ko na sila tris at fip","2019-03-30 01:25 +0000","219.0","5.0","0.0228310502283105","0.0","1.0","0.0","4.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111663083301175296","https://twitter.com/aaronlouie_ml/status/1111663083301175296","di na naman makatulog HAFJSAAAAAAA","2019-03-29 16:15 +0000","135.0","2.0","0.014814814814814815","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111661828646432768","https://twitter.com/aaronlouie_ml/status/1111661828646432768","@_heyitsmeellaaa galit kah","2019-03-29 16:10 +0000","11.0","1.0","0.09090909090909091","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111648916221509633","https://twitter.com/aaronlouie_ml/status/1111648916221509633","magaling na ako yay https://t.co/gQbuWo7qTE","2019-03-29 15:18 +0000","179.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111638327017517057","https://twitter.com/aaronlouie_ml/status/1111638327017517057","ang magtanong sakin sa cc, gagraduate on time https://t.co/M8zuzP1o3P","2019-03-29 14:36 +0000","128.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111631248538112002","https://twitter.com/aaronlouie_ml/status/1111631248538112002","hirap kumausap ng close minded","2019-03-29 14:08 +0000","190.0","2.0","0.010526315789473684","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111588883198705664","https://twitter.com/aaronlouie_ml/status/1111588883198705664","nood muna kayo ng vlog ko HAHA https://t.co/HCEFPxn0DP","2019-03-29 11:20 +0000","189.0","5.0","0.026455026455026454","0.0","0.0","2.0","0.0","3.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111568102049775616","https://twitter.com/aaronlouie_ml/status/1111568102049775616","i miss my pinsans","2019-03-29 09:57 +0000","149.0","1.0","0.006711409395973154","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111550259056959489","https://twitter.com/aaronlouie_ml/status/1111550259056959489","relax day ngayon walang sp bukas na lang &lt;3","2019-03-29 08:46 +0000","151.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111538755007975425","https://twitter.com/aaronlouie_ml/status/1111538755007975425","gusto kong magpagrad pic HAHA","2019-03-29 08:01 +0000","197.0","1.0","0.005076142131979695","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111526909492363264","https://twitter.com/aaronlouie_ml/status/1111526909492363264","@antonetteskii Nood nood lang ng kadenang ginto","2019-03-29 07:14 +0000","78.0","2.0","0.02564102564102564","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111490413209112576","https://twitter.com/aaronlouie_ml/status/1111490413209112576","@quixoticquinnnn @kvamalinis Kahapon pa yan","2019-03-29 04:48 +0000","99.0","2.0","0.020202020202020204","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111482327635419137","https://twitter.com/aaronlouie_ml/status/1111482327635419137","wow kanina pa ako walang ginagawa","2019-03-29 04:16 +0000","135.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111474137485078528","https://twitter.com/aaronlouie_ml/status/1111474137485078528","https://t.co/ywDM7E3IFT","2019-03-29 03:44 +0000","189.0","1.0","0.005291005291005291","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111473887374532608","https://twitter.com/aaronlouie_ml/status/1111473887374532608","bakit ang hirap kantahin ng bakit ba ikaw assgfhjk","2019-03-29 03:43 +0000","172.0","1.0","0.005813953488372093","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111459975551840256","https://twitter.com/aaronlouie_ml/status/1111459975551840256","@pharajesuitas HAHA","2019-03-29 02:48 +0000","17.0","1.0","0.058823529411764705","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111458557700931584","https://twitter.com/aaronlouie_ml/status/1111458557700931584","https://t.co/k2gNeUp23h DAMI NANG VIEWS HAHAHAHA @mimiyuuuh","2019-03-29 02:42 +0000","134.0","1.0","0.007462686567164179","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111456069568462848","https://twitter.com/aaronlouie_ml/status/1111456069568462848","@kvamalinis nakasalubong ko haha","2019-03-29 02:32 +0000","34.0","1.0","0.029411764705882353","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111434262106890241","https://twitter.com/aaronlouie_ml/status/1111434262106890241","Wag kayo maingay. May exam si tris hahahaha qt https://t.co/BsLNEv07W4","2019-03-29 01:05 +0000","233.0","27.0","0.11587982832618025","0.0","0.0","2.0","1.0","1.0","0.0","1.0","0.0","0","0","0","0","0","22","22","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111298157609017344","https://twitter.com/aaronlouie_ml/status/1111298157609017344","Namiss ko bigla si tris 😥","2019-03-28 16:05 +0000","167.0","1.0","0.005988023952095809","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111269409639694337","https://twitter.com/aaronlouie_ml/status/1111269409639694337","@pharajesuitas di mo ba ako yayayain","2019-03-28 14:10 +0000","36.0","1.0","0.027777777777777776","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111263970520764419","https://twitter.com/aaronlouie_ml/status/1111263970520764419","monday to tuesday: siblings, selenas, crossover, onyangs
wed: doys
thursday: pancit canton
friday: ma baon","2019-03-28 13:49 +0000","223.0","3.0","0.013452914798206279","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111221157888323584","https://twitter.com/aaronlouie_ml/status/1111221157888323584","sorry aken. bawe ako. https://t.co/kE5TXpQmJ8","2019-03-28 10:59 +0000","159.0","26.0","0.16352201257861634","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","24","24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111214283801526273","https://twitter.com/aaronlouie_ml/status/1111214283801526273","ang lamig ng boses ng nagchochorus ng ""Dalaga"" shet","2019-03-28 10:31 +0000","129.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111191262441308160","https://twitter.com/aaronlouie_ml/status/1111191262441308160","EXCUSE ME DADAAN YUNG NAGPACONSULT SA ADVISER SA CPARK HAHAHAHAHA","2019-03-28 09:00 +0000","389.0","9.0","0.02313624678663239","0.0","1.0","7.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111191088247627776","https://twitter.com/aaronlouie_ml/status/1111191088247627776","@skysemilla @antonetteskii HAHAHA SHET","2019-03-28 08:59 +0000","122.0","2.0","0.01639344262295082","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111172935975211008","https://twitter.com/aaronlouie_ml/status/1111172935975211008","@kvamalinis @JAMRPamintuan HAHAHA","2019-03-28 07:47 +0000","78.0","1.0","0.01282051282051282","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111165985438855168","https://twitter.com/aaronlouie_ml/status/1111165985438855168","@JAMRPamintuan HAHAHA","2019-03-28 07:19 +0000","94.0","3.0","0.031914893617021274","0.0","1.0","0.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111090631542136832","https://twitter.com/aaronlouie_ml/status/1111090631542136832","https://t.co/BNswgkIrAa inuubos mo na naman oras ko katrina hahaha","2019-03-28 02:20 +0000","143.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1111087050558570496","https://twitter.com/aaronlouie_ml/status/1111087050558570496","https://t.co/2QCOzjPnoN NOICE","2019-03-28 02:06 +0000","157.0","1.0","0.006369426751592357","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1110939522550775808","https://twitter.com/aaronlouie_ml/status/1110939522550775808","Hay wala akong magawa makapagpaconsult nga bukas jonks lang HAHAHA","2019-03-27 16:19 +0000","175.0","2.0","0.011428571428571429","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1110902981673644032","https://twitter.com/aaronlouie_ml/status/1110902981673644032","@geeyoooo Akala ko videoke amp","2019-03-27 13:54 +0000","107.0","1.0","0.009345794392523364","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1110901776943706112","https://twitter.com/aaronlouie_ml/status/1110901776943706112","may sipon aq tapos mali pa lyrics amp HAHA","2019-03-27 13:49 +0000","204.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1110901340044025857","https://twitter.com/aaronlouie_ml/status/1110901340044025857","magpaconsult ka na sa adviser mo yeah https://t.co/VA7Ct6fXxW","2019-03-27 13:48 +0000","288.0","39.0","0.13541666666666666","0.0","1.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","73","35","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1110901109302804480","https://twitter.com/aaronlouie_ml/status/1110901109302804480","@josie_frotgam mga 3 po","2019-03-27 13:47 +0000","93.0","3.0","0.03225806451612903","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1110900447580020741","https://twitter.com/aaronlouie_ml/status/1110900447580020741","@josie_frotgam pengeng time ate","2019-03-27 13:44 +0000","94.0","1.0","0.010638297872340425","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1110882350764707840","https://twitter.com/aaronlouie_ml/status/1110882350764707840","January
February
March
April
May
Nakita
'Kong
Isang
Babae","2019-03-27 12:32 +0000","402.0","6.0","0.014925373134328358","1.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1110857590961917952","https://twitter.com/aaronlouie_ml/status/1110857590961917952","sobrang galing din ng camera skills ni @erwanheussaff damn","2019-03-27 10:54 +0000","129.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1110856728285868037","https://twitter.com/aaronlouie_ml/status/1110856728285868037","https://t.co/EnpIORG9jP ganda ni @annecurtisF","2019-03-27 10:50 +0000","142.0","3.0","0.02112676056338028","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1110853893280284672","https://twitter.com/aaronlouie_ml/status/1110853893280284672","gusto ko na lang maging vlogger","2019-03-27 10:39 +0000","170.0","3.0","0.01764705882352941","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1110847168800157697","https://twitter.com/aaronlouie_ml/status/1110847168800157697","""Bayad po"" lol jonks lang https://t.co/fzjgvG6RIG","2019-03-27 10:12 +0000","194.0","2.0","0.010309278350515464","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1110846961920274433","https://twitter.com/aaronlouie_ml/status/1110846961920274433","KAYA BA THIS SEM?","2019-03-27 10:12 +0000","120.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
